Year,Recipient,Institution,Nationality
1995,John Harsanyi,UC Berkeley,United States
1996,Hal Varian,University of Michigan,United States
1997,János Kornai,Harvard University; Collegium Budapest,Hungary
1998,Jean Tirole,Toulouse School of Economics,France
1999,Oliver E. Williamson [1],UC Berkeley,United States
2001,Avinash K. Dixit,Princeton University,India;  United States
2002,Jon Elster,Columbia University,Norway
2003,Maurice Obstfeld[2],UC Berkeley,United States
2004,Gary Becker,University of Chicago,United States
2005,Glenn Loury [3],Brown University,United States
2006,Matthew Rabin [4],UC Berkeley,United States
2007,Daron Acemoglu [5],MIT,United States
2008,Kevin M. Murphy,University of Chicago,United States
2009,Philippe Aghion [6],Harvard University,France
2010,Tim Besley [7],London School of Economics,United Kingdom
2011,Joshua Angrist,MIT,United States
2012,Olivier Blanchard,MIT,France
2013,Esther Duflo [8],MIT,France;  United States
20131,Kenneth J. Arrow,Stanford University,United States
2014,Emmanuel Saez [9],UC Berkeley,France;  United States
2015,Matthew O. Jackson,Stanford University,United States
2016,Alvin E. Roth,Stanford University,United States
2017,Richard H. Thaler,University of Chicago,United States
2018,Dani Rodrik,Harvard University,United States
2019,Susan Athey,Stanford University,United States
